CustomerID,Gender,SeniorCitizen,Age,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn
CUST-13985,Male,0,56,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,No,Two Year,Yes,Credit Card,43.61,701.71,2,No
CUST-11634,Female,0,49,No,Yes,38,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer,21.57,796.9,2,No
CUST-16553,Male,0,21,No,Yes,6,No,No Phone Service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,73.83,443.09,2,Yes
CUST-13978,Male,1,84,No,No,22,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,No,Electronic Check,79.28,1689.26,4,Yes
CUST-15990,Male,0,18,No,No,5,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Mailed Check,90.44,437.02,6,Yes
CUST-11277,Male,0,20,No,No,12,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Two Year,Yes,Mailed Check,78.43,907.12,5,Yes
CUST-12874,Male,0,31,Yes,Yes,17,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,18.4,300.98,3,Yes
CUST-12952,Male,0,28,No,No,19,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Two Year,Yes,Mailed Check,81.57,1457.52,1,Yes
CUST-11807,Male,0,41,Yes,Yes,15,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,56.82,,2,Yes
CUST-10393,Female,0,35,Yes,No,16,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,79.78,1250.94,6,Yes
CUST-11009,Male,1,83,No,No,54,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,88.53,4771.29,2,No
CUST-16281,Male,0,19,Yes,Yes,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One Year,No,Electronic Check,65.69,323.75,0,Yes
CUST-10321,Male,0,63,Yes,No,25,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,25.68,635.38,1,No
CUST-11488,Female,0,54,Yes,Yes,24,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two Year,No,Bank Transfer,61.36,1415.68,3,No
CUST-13478,Female,0,54,Yes,Yes,23,Yes,Yes,DSL,No,No,No,No,No,No,Two Year,Yes,Electronic Check,48.13,1046.02,1,Yes
CUST-11487,Male,0,39,Yes,No,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,18.0,1213.85,2,No
CUST-13477,Female,1,72,No,No,62,Yes,No,Fiber Optic,No,No,No,No,No,No,One Year,Yes,Mailed Check,82.72,4891.26,2,No
CUST-11153,Male,0,20,No,No,45,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Transfer,60.55,2620.96,4,No
CUST-13443,Male,0,21,No,No,42,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,94.04,3805.13,0,No
CUST-12746,Male,1,82,No,No,27,No,No Phone Service,Fiber Optic,No,No,No,No,No,No,One Year,Yes,Mailed Check,62.47,1643.42,4,Yes
CUST-16804,Female,0,53,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,Two Year,No,Bank Transfer,60.96,2728.72,1,No
CUST-11465,Female,1,75,Yes,No,46,No,No Phone Service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer,72.4,3165.33,3,No
CUST-11192,Female,0,22,Yes,No,42,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One Year,No,Credit Card,63.63,2543.31,3,No
CUST-10319,Female,1,77,No,No,4,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,19.66,72.95,1,Yes
CUST-15590,Male,0,19,No,No,10,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,23.07,212.29,2,Yes
CUST-16082,Female,0,42,Yes,Yes,40,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,22.12,841.59,4,Yes
CUST-12225,Male,1,68,No,Yes,16,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,18.0,293.46,5,No
CUST-14149,Male,0,40,No,Yes,52,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,Yes,Mailed Check,81.22,4117.76,1,No
CUST-11020,Female,0,24,No,No,41,Yes,No,Fiber Optic,No,No,No,Yes,No,No,One Year,Yes,Bank Transfer,69.02,2727.91,2,No
CUST-15718,Male,0,51,No,Yes,33,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,87.42,2730.07,0,No
CUST-10437,Male,0,28,No,No,22,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Transfer,72.61,1539.64,2,No
CUST-12182,Female,0,35,No,No,25,No,No Phone Service,Fiber Optic,Yes,No,No,Yes,No,No,Two Year,No,Bank Transfer,70.41,1715.86,3,No
CUST-11620,Male,1,69,Yes,No,17,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,27.06,452.82,1,Yes
CUST-14163,Male,0,58,Yes,No,10,Yes,Yes,DSL,No,No,No,Yes,No,No,One Year,No,Electronic Check,59.98,571.97,3,Yes
CUST-12063,Male,0,53,Yes,Yes,23,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Mailed Check,52.08,1149.58,0,No
CUST-16895,Male,0,42,Yes,No,49,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,78.76,3713.46,2,No
CUST-11840,Male,0,31,Yes,No,44,Yes,No,DSL,No,No,No,No,Yes,No,Two Year,No,Mailed Check,52.65,2239.16,1,No
CUST-13583,Female,0,32,Yes,No,31,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,One Year,Yes,Credit Card,71.29,2148.42,3,Yes
CUST-15459,Male,0,61,Yes,Yes,3,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Mailed Check,88.76,250.48,5,No
CUST-12351,Female,0,51,Yes,No,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer,22.3,1566.47,0,No
CUST-13666,Male,0,19,No,No,47,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,18.0,836.72,5,No
CUST-13538,Male,0,36,Yes,Yes,36,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,One Year,Yes,Mailed Check,86.0,3073.21,2,Yes
CUST-13518,Female,0,29,No,Yes,13,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Mailed Check,80.69,1011.01,1,Yes
CUST-11244,Male,1,73,Yes,No,23,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer,22.13,495.18,5,Yes
CUST-11055,Female,0,48,No,No,33,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One Year,Yes,Mailed Check,56.41,1764.47,4,Yes
CUST-10742,Female,1,67,No,Yes,58,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,71.9,,2,No
CUST-13704,Male,0,32,Yes,No,45,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,71.56,3192.56,3,Yes
CUST-12582,Male,0,64,Yes,Yes,8,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Electronic Check,97.2,754.43,3,Yes
CUST-11832,Male,0,24,Yes,Yes,10,No,No Phone Service,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,82.72,806.71,1,No
CUST-15849,Female,0,27,No,No,39,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two Year,Yes,Mailed Check,63.27,2377.73,2,No
CUST-10233,Female,0,23,No,Yes,44,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic Check,80.94,3378.91,0,No
CUST-13165,Female,0,19,No,Yes,25,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,No,Electronic Check,82.27,1956.55,3,No
CUST-13286,Female,1,68,No,Yes,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer,18.0,1241.94,0,No
CUST-11562,Female,0,55,No,Yes,39,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer,75.67,2947.9,0,Yes
CUST-15568,Male,0,56,No,Yes,7,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,27.0,178.33,2,No
CUST-13077,Female,0,29,Yes,No,21,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,Yes,Credit Card,71.42,1452.15,3,No
CUST-14338,Female,0,32,No,No,46,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,26.71,1168.3,1,No
CUST-13790,Male,0,45,Yes,No,11,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Electronic Check,92.25,995.92,1,Yes
CUST-11168,Female,1,67,No,No,21,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,18.0,354.96,5,No
CUST-16383,Female,1,72,No,Yes,40,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,54.61,2174.58,2,No
CUST-13405,Female,0,64,No,Yes,33,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,22.09,715.79,1,No
CUST-16380,Female,0,25,Yes,No,14,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,18.0,248.99,1,No
CUST-16324,Female,0,55,Yes,Yes,11,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Transfer,73.78,789.21,1,No
CUST-15099,Female,1,73,Yes,No,4,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Electronic Check,73.41,,4,Yes
CUST-12354,Male,1,76,Yes,No,72,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,No,Bank Transfer,84.48,6041.17,2,No
CUST-14775,Male,0,40,Yes,No,49,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,No,Bank Transfer,67.56,3240.32,2,Yes
CUST-10101,Female,1,76,Yes,No,68,No,No Phone Service,Fiber Optic,No,No,No,No,Yes,No,Two Year,Yes,Mailed Check,69.36,4690.47,1,No
CUST-15090,Male,0,58,No,Yes,32,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,32.97,1047.23,0,No
CUST-11805,Female,0,37,No,No,60,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,80.05,4739.39,3,Yes
CUST-11615,Male,0,27,No,No,72,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,90.07,6124.2,2,No
CUST-16098,Female,0,54,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Transfer,65.52,842.93,1,No
CUST-10789,Female,0,46,Yes,No,14,Yes,No,DSL,No,No,No,No,No,Yes,Two Year,No,Credit Card,52.21,713.21,0,Yes
CUST-13613,Female,0,36,No,No,62,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One Year,Yes,Electronic Check,72.65,4486.62,2,Yes
CUST-14108,Female,0,59,Yes,No,33,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card,22.99,717.14,2,No
CUST-16382,Female,0,41,No,No,38,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,27.71,1018.36,6,No
CUST-16681,Female,1,74,No,Yes,19,Yes,Yes,Fiber Optic,No,No,No,No,No,No,One Year,No,Credit Card,75.18,1406.92,2,Yes
CUST-10538,Male,1,77,No,Yes,32,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,Yes,Electronic Check,71.76,2186.73,3,Yes
CUST-10468,Male,0,37,Yes,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Mailed Check,61.81,2124.45,4,No
CUST-10037,Male,0,48,Yes,No,20,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Electronic Check,78.41,1489.6,1,Yes
CUST-12142,Female,1,83,No,Yes,60,Yes,No,DSL,No,No,Yes,No,No,No,Two Year,Yes,Bank Transfer,41.76,2446.55,3,No
CUST-16864,Female,0,38,No,No,6,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,26.68,146.41,2,No
CUST-16071,Male,0,32,No,No,72,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,One Year,No,Electronic Check,79.61,5606.35,3,No
CUST-11897,Male,0,46,Yes,No,43,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,19.72,834.69,3,No
CUST-14464,Male,0,33,No,No,5,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,78.97,383.57,2,No
CUST-15627,Female,0,57,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,No,No,One Year,Yes,Mailed Check,49.78,1026.8,1,No
CUST-16362,Female,0,64,Yes,No,59,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two Year,No,Mailed Check,93.37,5269.19,4,No
CUST-12963,Female,0,58,No,Yes,38,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer,18.0,669.06,2,Yes
CUST-11882,Male,0,33,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No,No,One Year,Yes,Credit Card,55.9,2314.28,2,No
CUST-15591,Female,0,20,No,No,9,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer,20.7,178.72,7,No
CUST-10592,Male,0,26,Yes,Yes,20,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-to-Month,No,Credit Card,73.1,1431.63,1,Yes
CUST-11919,Female,0,59,No,No,47,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Transfer,80.39,3598.77,6,No
CUST-10457,Male,0,44,No,No,24,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer,18.05,432.97,2,No
CUST-10763,Male,0,51,No,No,6,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,One Year,No,Credit Card,75.15,435.56,2,No
CUST-13473,Male,0,47,No,Yes,45,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,86.86,3793.29,4,No
CUST-16096,Male,0,40,Yes,Yes,12,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Electronic Check,87.29,1024.0,1,Yes
CUST-16511,Male,1,72,No,No,18,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,27.26,462.81,3,No
CUST-12264,Female,1,75,Yes,No,60,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One Year,No,Electronic Check,65.37,3833.73,1,Yes
CUST-10503,Male,0,59,No,No,68,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,87.43,5944.41,0,Yes
CUST-12317,Female,0,37,Yes,No,25,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Electronic Check,107.01,2625.15,2,Yes
CUST-14593,Male,0,53,No,No,27,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Mailed Check,63.28,1678.15,1,No
CUST-14375,Male,0,27,Yes,No,31,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,26.14,773.51,2,No
CUST-15657,Female,0,60,Yes,Yes,35,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer,22.12,734.62,2,No
CUST-10230,Male,0,50,Yes,No,55,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.29,4178.37,5,No
CUST-12127,Male,0,27,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One Year,No,Electronic Check,68.55,2125.0,2,No
CUST-17040,Female,0,42,Yes,No,59,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,26.43,1475.19,1,No
CUST-12098,Male,1,69,Yes,Yes,31,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Transfer,59.11,1777.08,6,No
CUST-10239,Male,0,29,Yes,No,15,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Transfer,98.97,1467.3,2,Yes
CUST-10408,Male,0,59,Yes,No,29,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Month-to-Month,No,Bank Transfer,80.04,2207.98,3,No
CUST-17033,Male,0,62,No,Yes,6,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer,27.73,161.18,1,No
CUST-10050,Male,0,26,No,No,72,Yes,No,DSL,Yes,No,No,No,No,No,One Year,Yes,Mailed Check,46.26,3222.65,1,No
CUST-12117,Male,0,58,No,Yes,11,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Month-to-Month,No,Bank Transfer,79.29,832.14,3,No
CUST-17001,Female,0,23,No,No,17,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,25.72,410.79,1,Yes
CUST-11097,Female,0,21,Yes,No,9,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,26.45,228.11,2,No
CUST-14294,Female,0,37,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-Month,No,Electronic Check,74.53,1175.76,4,No
CUST-13151,Female,0,35,Yes,No,72,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Mailed Check,72.41,5219.54,2,No
CUST-15918,Female,0,45,No,No,39,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,23.26,889.57,2,Yes
CUST-12778,Male,1,72,No,No,17,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-to-Month,No,Electronic Check,83.47,1399.12,1,No
CUST-10177,Female,0,21,No,No,22,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Mailed Check,88.31,1864.91,3,Yes
CUST-15410,Male,0,40,Yes,No,10,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Transfer,100.56,1003.19,2,Yes
CUST-11539,Male,0,50,Yes,No,37,Yes,Yes,DSL,No,No,No,No,No,No,Two Year,Yes,Credit Card,52.7,1901.89,2,Yes
CUST-14507,Male,0,30,No,Yes,72,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Electronic Check,69.98,4904.97,0,No
CUST-10217,Male,1,83,No,Yes,27,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-Month,No,Bank Transfer,75.61,2031.19,5,Yes
CUST-12886,Male,0,37,No,Yes,21,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Electronic Check,70.73,1417.34,2,No
CUST-12157,Male,0,60,Yes,No,60,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Transfer,94.62,5345.27,6,No
CUST-15267,Female,1,72,No,No,21,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,21.21,428.78,5,No
CUST-11867,Male,0,29,Yes,No,40,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Two Year,No,Electronic Check,70.76,2754.59,6,No
CUST-14834,Male,0,58,Yes,No,46,No,No Phone Service,Fiber Optic,Yes,No,No,No,No,Yes,One Year,Yes,Electronic Check,74.11,3315.83,1,Yes
