CustomerID,Gender,SeniorCitizen,Age,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn,AvgChargePerTenure,IsNewCustomer,HighSupportCalls,TotalAddonServices,ChargeVsTierAvg,IsMonthToMonth
CUST-17038,0,0,53,1,0,28,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-Month,1,Mailed Check,61.99,1706.52,2.0,Yes,60.94714285714286,0,0,2,0.6864673452078023,1
CUST-16459,0,0,23,0,1,72,1,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,0,Mailed Check,79.14,5420.96,3.0,No,75.2911111111111,0,0,1,-2.867610647851194,0
CUST-13621,1,0,54,1,0,15,1,Yes,DSL,No,No,No,No,No,No,Month-to-Month,0,Mailed Check,46.71,696.24,2.0,No,46.416000000000004,0,0,0,-14.593532654792199,1
CUST-16948,0,0,52,1,0,72,1,No,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,0,Electronic Check,85.61,5957.83,1.0,No,82.74763888888889,0,0,3,3.602389352148805,0
CUST-12699,0,0,25,1,0,71,1,No,DSL,Yes,No,Yes,No,No,Yes,Two Year,1,Mailed Check,53.15,3599.95,2.0,No,50.70352112676056,0,0,3,-8.153532654792201,0
CUST-16644,0,0,23,1,1,43,1,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-to-Month,0,Bank Transfer,80.2,3420.52,3.0,No,79.54697674418604,0,0,3,-1.8076106478511917,1
CUST-16177,1,0,54,0,0,9,1,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,1,Bank Transfer,83.79,757.17,2.0,Yes,84.13,0,0,3,1.7823893521488117,1
CUST-10496,1,0,31,1,1,25,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Mailed Check,19.44,478.71,0.0,No,19.1484,0,0,0,-3.3066113592852595,1
CUST-11965,1,0,36,1,0,20,0,No Phone Service,DSL,No,Yes,Yes,No,No,No,One Year,0,Electronic Check,52.36,1042.4,0.0,No,52.120000000000005,0,0,2,-8.9435326547922,0
CUST-11108,0,0,52,1,1,18,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,1,Electronic Check,65.31,1138.45,1.0,No,63.24722222222223,0,0,1,4.006467345207803,1
CUST-13985,1,0,56,1,1,16,1,No,DSL,No,No,No,No,No,No,Two Year,1,Credit Card,43.61,701.71,2.0,No,43.856875,0,0,0,-17.6935326547922,0
CUST-11634,0,0,49,0,1,38,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Bank Transfer,21.57,796.9,2.0,No,20.971052631578946,0,0,0,-1.1766113592852605,1
CUST-16553,1,0,21,0,1,6,0,No Phone Service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-Month,1,Electronic Check,73.83,443.09,2.0,Yes,73.84833333333333,1,0,4,12.526467345207799,1
CUST-13978,1,1,84,0,0,22,1,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,0,Electronic Check,79.28,1689.26,4.0,Yes,76.78454545454545,0,1,1,-2.7276106478511934,1
CUST-15990,1,0,18,0,0,5,1,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,1,Mailed Check,90.44,437.02,6.0,Yes,87.404,1,1,3,8.432389352148803,1
CUST-11277,1,0,20,0,0,12,1,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Two Year,1,Mailed Check,78.43,907.12,5.0,Yes,75.59333333333333,0,1,3,-3.5776106478511878,0
CUST-12874,1,0,31,1,1,17,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,18.4,300.98,3.0,Yes,17.704705882352943,0,0,0,-4.346611359285262,1
CUST-12952,1,0,28,0,0,19,1,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Two Year,1,Mailed Check,81.57,1457.52,1.0,Yes,76.71157894736842,0,0,2,-0.4376106478512014,0
CUST-11807,1,0,41,1,1,15,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,0,Credit Card,56.82,852.3,2.0,Yes,56.82,0,0,3,-4.483532654792199,1
CUST-10393,0,0,35,1,0,16,1,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-to-Month,1,Credit Card,79.78,1250.94,6.0,Yes,78.18375,0,1,3,-2.2276106478511934,1
CUST-11009,1,1,83,0,0,54,1,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,1,Mailed Check,88.53,4771.29,2.0,No,88.35722222222222,0,0,3,6.5223893521488066,1
CUST-16281,1,0,19,1,1,5,1,Yes,DSL,No,Yes,No,No,No,Yes,One Year,0,Electronic Check,65.69,323.75,0.0,Yes,64.75,1,0,2,4.386467345207798,0
CUST-10321,1,0,63,1,0,25,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,1,Mailed Check,25.68,635.38,1.0,No,25.4152,0,0,0,2.933388640714739,0
CUST-11488,0,0,54,1,1,24,1,Yes,DSL,No,No,No,Yes,No,Yes,Two Year,0,Bank Transfer,61.36,1415.68,3.0,No,58.98666666666667,0,0,2,0.056467345207799724,0
CUST-13478,0,0,54,1,1,23,1,Yes,DSL,No,No,No,No,No,No,Two Year,1,Electronic Check,48.13,1046.02,1.0,Yes,45.47913043478261,0,0,0,-13.173532654792197,0
CUST-11487,1,0,39,1,0,72,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,18.0,1213.85,2.0,No,16.859027777777776,0,0,0,-4.746611359285261,1
CUST-13477,0,1,72,0,0,62,1,No,Fiber Optic,No,No,No,No,No,No,One Year,1,Mailed Check,82.72,4891.26,2.0,No,78.89129032258064,0,0,0,0.7123893521488043,0
CUST-11153,1,0,20,0,0,45,1,No,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,1,Bank Transfer,60.55,2620.96,4.0,No,58.24355555555556,0,1,1,-21.457610647851197,1
CUST-13443,1,0,21,0,0,42,1,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,1,Credit Card,94.04,3805.13,0.0,No,90.59833333333333,0,0,4,12.032389352148812,0
CUST-12746,1,1,82,0,0,27,0,No Phone Service,Fiber Optic,No,No,No,No,No,No,One Year,1,Mailed Check,62.47,1643.42,4.0,Yes,60.86740740740741,0,1,0,-19.537610647851196,0
CUST-16804,0,0,53,1,0,45,1,No,DSL,No,No,No,No,Yes,Yes,Two Year,0,Bank Transfer,60.96,2728.72,1.0,No,60.63822222222222,0,0,2,-0.34353265479219885,0
CUST-11465,0,1,75,1,0,46,0,No Phone Service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-Month,1,Bank Transfer,72.4,3165.33,3.0,No,68.81152173913043,0,0,4,11.096467345207806,1
CUST-11192,0,0,22,1,0,42,1,No,DSL,No,No,Yes,No,Yes,Yes,One Year,0,Credit Card,63.63,2543.31,3.0,No,60.555,0,0,3,2.326467345207803,0
CUST-10319,0,1,77,0,0,4,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,1,Mailed Check,19.66,72.95,1.0,Yes,18.2375,1,0,0,-3.0866113592852606,0
CUST-15590,1,0,19,0,0,10,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Credit Card,23.07,212.29,2.0,Yes,21.229,0,0,0,0.3233886407147395,1
CUST-16082,0,0,42,1,1,40,0,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,22.12,841.59,4.0,Yes,21.03975,0,1,0,-0.6266113592852598,1
CUST-12225,1,1,68,0,1,16,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Mailed Check,18.0,293.46,5.0,No,18.34125,0,1,0,-4.746611359285261,1
CUST-14149,1,0,40,0,1,52,1,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,1,Mailed Check,81.22,4117.76,1.0,No,79.18769230769232,0,0,3,-0.7876106478511957,0
CUST-11020,0,0,24,0,0,41,1,No,Fiber Optic,No,No,No,Yes,No,No,One Year,1,Bank Transfer,69.02,2727.91,2.0,No,66.53439024390244,0,0,1,-12.987610647851199,0
CUST-15718,1,0,51,0,1,33,1,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,1,Electronic Check,87.42,2730.07,0.0,No,82.72939393939394,0,0,5,5.412389352148807,1
CUST-10437,1,0,28,0,0,22,1,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,1,Bank Transfer,72.61,1539.64,2.0,No,69.98363636363636,0,0,2,-9.397610647851195,0
CUST-12182,0,0,35,0,0,25,0,No Phone Service,Fiber Optic,Yes,No,No,Yes,No,No,Two Year,0,Bank Transfer,70.41,1715.86,3.0,No,68.6344,0,0,2,-11.597610647851198,0
CUST-11620,1,1,69,1,0,17,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,27.06,452.82,1.0,Yes,26.636470588235294,0,0,0,4.313388640714738,1
CUST-14163,1,0,58,1,0,10,1,Yes,DSL,No,No,No,Yes,No,No,One Year,0,Electronic Check,59.98,571.97,3.0,Yes,57.197,0,0,1,-1.3235326547922028,0
CUST-12063,1,0,53,1,1,23,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-Month,1,Mailed Check,52.08,1149.58,0.0,No,49.98173913043478,0,0,2,-9.223532654792201,1
CUST-16895,1,0,42,1,0,49,1,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,1,Electronic Check,78.76,3713.46,2.0,No,75.78489795918368,0,0,1,-3.2476106478511895,1
CUST-11840,1,0,31,1,0,44,1,No,DSL,No,No,No,No,Yes,No,Two Year,0,Mailed Check,52.65,2239.16,1.0,No,50.88999999999999,0,0,1,-8.653532654792201,0
CUST-13583,0,0,32,1,0,31,1,No,Fiber Optic,No,No,Yes,No,No,Yes,One Year,1,Credit Card,71.29,2148.42,3.0,Yes,69.30387096774194,0,0,2,-10.717610647851188,0
CUST-15459,1,0,61,1,1,3,1,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two Year,1,Mailed Check,88.76,250.48,5.0,No,83.49333333333333,1,1,4,6.7523893521488105,0
CUST-12351,0,0,51,1,0,72,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,1,Bank Transfer,22.3,1566.47,0.0,No,21.756527777777777,0,0,0,-0.4466113592852601,0
CUST-13666,1,0,19,0,0,47,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Mailed Check,18.0,836.72,5.0,No,17.802553191489363,0,1,0,-4.746611359285261,1
CUST-13538,1,0,36,1,1,36,1,No,Fiber Optic,No,Yes,No,Yes,Yes,No,One Year,1,Mailed Check,86.0,3073.21,2.0,Yes,85.36694444444444,0,0,3,3.9923893521488054,0
CUST-13518,0,0,29,0,1,13,1,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,0,Mailed Check,80.69,1011.01,1.0,Yes,77.77,0,0,3,-1.3176106478511969,1
CUST-11244,1,1,73,1,0,23,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Bank Transfer,22.13,495.18,5.0,Yes,21.529565217391305,0,1,0,-0.6166113592852618,1
CUST-11055,0,0,48,0,0,33,1,No,DSL,Yes,No,Yes,Yes,No,No,One Year,1,Mailed Check,56.41,1764.47,4.0,Yes,53.46878787878788,0,1,3,-4.893532654792203,0
CUST-10742,0,1,67,0,1,58,1,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,1,Electronic Check,71.9,4170.200000000001,2.0,No,71.9,0,0,1,-10.107610647851189,1
CUST-13704,1,0,32,1,0,45,1,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,1,Electronic Check,71.56,3192.56,3.0,Yes,70.94577777777778,0,0,4,-10.447610647851192,0
CUST-12582,1,0,64,1,1,8,1,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,1,Electronic Check,97.2,754.43,3.0,Yes,94.30375,0,0,3,15.192389352148808,1
CUST-11832,1,0,24,1,1,10,0,No Phone Service,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,0,Mailed Check,82.72,806.71,1.0,No,80.671,0,0,3,0.7123893521488043,1
CUST-15849,0,0,27,0,0,39,1,No,DSL,Yes,Yes,No,No,Yes,No,Two Year,1,Mailed Check,63.27,2377.73,2.0,No,60.9674358974359,0,0,3,1.9664673452078034,0
CUST-10233,0,0,23,0,1,44,1,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One Year,1,Electronic Check,80.94,3378.91,0.0,No,76.7934090909091,0,0,5,19.636467345207798,0
CUST-13165,0,0,19,0,1,25,1,No,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,0,Electronic Check,82.27,1956.55,3.0,No,78.262,0,0,3,0.26238935214880144,0
CUST-13286,0,1,68,0,1,72,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Bank Transfer,18.0,1241.94,0.0,No,17.249166666666667,0,0,0,-4.746611359285261,1
CUST-11562,0,0,55,0,1,39,1,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,1,Bank Transfer,75.67,2947.9,0.0,Yes,75.58717948717948,0,0,1,-6.337610647851193,1
CUST-15568,1,0,56,0,1,7,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Electronic Check,27.0,178.33,2.0,No,25.475714285714286,0,0,0,4.253388640714739,1
CUST-13077,0,0,29,1,0,21,1,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,1,Credit Card,71.42,1452.15,3.0,No,69.15,0,0,1,-10.587610647851193,0
CUST-14338,0,0,32,0,0,46,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Electronic Check,26.71,1168.3,1.0,No,25.39782608695652,0,0,0,3.96338864071474,1
CUST-13790,1,0,45,1,0,11,1,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,1,Electronic Check,92.25,995.92,1.0,Yes,90.53818181818181,0,0,4,10.242389352148805,0
CUST-11168,0,1,67,0,0,21,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,1,Credit Card,18.0,354.96,5.0,No,16.90285714285714,0,1,0,-4.746611359285261,0
CUST-16383,0,1,72,0,1,40,1,Yes,DSL,No,Yes,No,Yes,No,No,One Year,1,Electronic Check,54.61,2174.58,2.0,No,54.3645,0,0,2,-6.6935326547922,0
CUST-13405,0,0,64,0,1,33,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Credit Card,22.09,715.79,1.0,No,21.690606060606058,0,0,0,-0.6566113592852609,1
CUST-16380,0,0,25,1,0,14,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,0,Mailed Check,18.0,248.99,1.0,No,17.785,0,0,0,-4.746611359285261,0
CUST-16324,0,0,55,1,1,11,1,No,Fiber Optic,Yes,No,No,No,No,Yes,Two Year,1,Bank Transfer,73.78,789.21,1.0,No,71.74636363636364,0,0,2,-8.227610647851193,0
CUST-15099,0,1,73,1,0,4,1,No,Fiber Optic,No,No,No,No,No,Yes,Two Year,1,Electronic Check,73.41,293.64,4.0,Yes,73.41,1,1,1,-8.597610647851198,0
CUST-12354,1,1,76,1,0,72,1,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,0,Bank Transfer,84.48,6041.17,2.0,No,83.90513888888889,0,0,3,2.4723893521488094,0
CUST-14775,1,0,40,1,0,49,1,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,0,Bank Transfer,67.56,3240.32,2.0,Yes,66.12897959183674,0,0,1,-14.447610647851192,0
CUST-10101,0,1,76,1,0,68,0,No Phone Service,Fiber Optic,No,No,No,No,Yes,No,Two Year,1,Mailed Check,69.36,4690.47,1.0,No,68.9775,0,0,1,-12.647610647851195,0
CUST-15090,1,0,58,0,1,32,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,1,Electronic Check,32.97,1047.23,0.0,No,32.7259375,0,0,0,10.223388640714738,0
CUST-11805,0,0,37,0,0,60,1,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,0,Credit Card,80.05,4739.39,3.0,Yes,78.98983333333334,0,0,2,-1.9576106478511974,1
CUST-11615,1,0,27,0,0,72,1,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,1,Electronic Check,90.07,6124.2,2.0,No,85.05833333333334,0,0,3,8.062389352148799,1
CUST-16098,0,0,54,1,0,13,1,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,0,Bank Transfer,65.52,842.93,1.0,No,64.84076923076923,0,0,4,4.216467345207796,1
CUST-10789,0,0,46,1,0,14,1,No,DSL,No,No,No,No,No,Yes,Two Year,0,Credit Card,52.21,713.21,0.0,Yes,50.94357142857143,0,0,1,-9.093532654792199,0
CUST-13613,0,0,36,0,0,62,1,Yes,DSL,No,Yes,Yes,No,Yes,No,One Year,1,Electronic Check,72.65,4486.62,2.0,Yes,72.36483870967741,0,0,3,11.346467345207806,0
CUST-14108,0,0,59,1,0,33,0,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,1,Credit Card,22.99,717.14,2.0,No,21.73151515151515,0,0,0,0.24338864071473765,0
CUST-16382,0,0,41,0,0,38,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Credit Card,27.71,1018.36,6.0,No,26.798947368421054,0,1,0,4.96338864071474,1
CUST-16681,0,1,74,0,1,19,1,Yes,Fiber Optic,No,No,No,No,No,No,One Year,0,Credit Card,75.18,1406.92,2.0,Yes,74.04842105263158,0,0,0,-6.827610647851188,0
CUST-10538,1,1,77,0,1,32,1,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,1,Electronic Check,71.76,2186.73,3.0,Yes,68.3353125,0,0,1,-10.24761064785119,0
CUST-10468,1,0,37,1,0,36,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two Year,1,Mailed Check,61.81,2124.45,4.0,No,59.012499999999996,0,1,4,0.5064673452078026,0
CUST-10037,1,0,48,1,0,20,1,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Two Year,1,Electronic Check,78.41,1489.6,1.0,Yes,74.47999999999999,0,0,4,-3.597610647851198,0
CUST-12142,0,1,83,0,1,60,1,No,DSL,No,No,Yes,No,No,No,Two Year,1,Bank Transfer,41.76,2446.55,3.0,No,40.77583333333334,0,0,1,-19.5435326547922,0
CUST-16864,0,0,38,0,0,6,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Electronic Check,26.68,146.41,2.0,No,24.401666666666667,1,0,0,3.933388640714739,1
CUST-16071,1,0,32,0,0,72,1,Yes,Fiber Optic,No,Yes,No,Yes,No,No,One Year,0,Electronic Check,79.61,5606.35,3.0,No,77.86597222222223,0,0,2,-2.397610647851195,0
CUST-11897,1,0,46,1,0,43,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,19.72,834.69,3.0,No,19.41139534883721,0,0,0,-3.026611359285262,1
CUST-14464,1,0,33,0,0,5,1,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,1,Mailed Check,78.97,383.57,2.0,No,76.714,1,0,1,-3.0376106478511957,1
CUST-15627,0,0,57,1,0,22,1,Yes,DSL,No,No,No,Yes,No,No,One Year,1,Mailed Check,49.78,1026.8,1.0,No,46.67272727272727,0,0,1,-11.523532654792199,0
CUST-16362,0,0,64,1,0,59,1,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Two Year,0,Mailed Check,93.37,5269.19,4.0,No,89.30830508474575,0,1,4,11.36238935214881,0
CUST-12963,0,0,58,0,1,38,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Bank Transfer,18.0,669.06,2.0,Yes,17.606842105263155,0,0,0,-4.746611359285261,1
CUST-11882,1,0,33,1,0,42,1,Yes,DSL,No,No,No,No,No,No,One Year,1,Credit Card,55.9,2314.28,2.0,No,55.10190476190477,0,0,0,-5.403532654792201,0
CUST-15591,0,0,20,0,0,9,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Bank Transfer,20.7,178.72,7.0,No,19.857777777777777,0,1,0,-2.0466113592852615,1
CUST-10592,1,0,26,1,1,20,1,No,Fiber Optic,No,Yes,Yes,No,No,No,Month-to-Month,0,Credit Card,73.1,1431.63,1.0,Yes,71.5815,0,0,2,-8.9076106478512,1
CUST-11919,0,0,59,0,0,47,1,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,1,Bank Transfer,80.39,3598.77,6.0,No,76.56957446808511,0,1,3,-1.617610647851194,1
CUST-10457,1,0,44,0,0,24,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Bank Transfer,18.05,432.97,2.0,No,18.04041666666667,0,0,0,-4.69661135928526,1
CUST-10763,1,0,51,0,0,6,1,Yes,Fiber Optic,No,No,Yes,Yes,No,No,One Year,0,Credit Card,75.15,435.56,2.0,No,72.59333333333333,1,0,2,-6.857610647851189,0
CUST-13473,1,0,47,0,1,45,1,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,1,Electronic Check,86.86,3793.29,4.0,No,84.29533333333333,0,1,1,4.852389352148805,1
CUST-16096,1,0,40,1,1,12,1,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,0,Electronic Check,87.29,1024.0,1.0,Yes,85.33333333333333,0,0,3,5.282389352148812,1
CUST-16511,1,1,72,0,0,18,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Mailed Check,27.26,462.81,3.0,No,25.711666666666666,0,0,0,4.513388640714741,1
